Wavelength shift,Background,Response,Shot,Fit
Angstroms,a.u.,a.u.,a.u.,a.u.
9.18892843085,57.5116666667,33.6605459662,689.005,702.826968723
9.28652843085,84.5116666667,32.956714103,405.005,702.639079206
9.38422843085,79.5116666667,32.2740412996,613.005,702.456848657
9.48182843085,63.5116666667,31.6130293935,742.005,702.280218251
9.57942843085,14.5116666667,30.9721190996,459.005,702.108864029
9.67712843085,76.5116666667,30.3498762631,339.005,701.94253986
9.77472843085,65.5116666667,29.7468072323,381.005,701.781147665
9.87232843085,5.51166666667,29.1615363214,383.005,701.624424248
9.96992843085,45.5116666667,28.5933699964,664.005,701.472156226
10.0676284308,53.5116666667,28.0410911049,616.005,701.324243359
10.1652284308,46.5116666667,27.5052011442,414.005,701.180515768
10.2628284308,70.5116666667,26.9845277531,229.005,701.040781872
10.3604284308,36.5116666667,26.4785002357,192.005,700.904886658
10.4580284308,50.5116666667,25.9865744024,210.005,700.772726129
10.5556284308,34.5116666667,25.5082311063,351.005,700.644134936
10.6533284308,37.5116666667,25.0425047233,520.005,700.518960537
10.7509284308,29.5116666667,24.589875155,486.005,700.397117371
10.8485284308,45.5116666667,24.1494072102,799.005,700.278459946
10.9461284308,51.5116666667,23.7206690657,1106.005,700.16288948
11.0437284308,11.5116666667,23.3032478955,751.005,700.050288556
11.1413284308,15.5116666667,22.8967488769,454.005,699.940543455
11.2389284308,89.5116666667,22.5007942562,277.005,699.833552719
11.3365284308,-0.488333333333,22.115022471,244.005,699.729218039
11.4341284308,11.5116666667,21.7390873245,311.005,699.627445833
11.5317284308,33.5116666667,21.3726572082,308.005,699.528161725
11.6292284308,11.5116666667,21.0157758014,527.005,699.431257934
11.7268284308,1.51166666667,20.6674067098,1453.005,699.336631203
11.8244284308,36.5116666667,20.3276285417,2220.005,699.244220549
11.9220284308,14.5116666667,19.9961611261,1795.005,699.153962932
12.0196284308,24.5116666667,19.6727356211,1230.005,699.065720927
12.1172284308,37.5116666667,19.3570939685,609.005,698.979447843
12.2147284308,25.5116666667,19.0493002858,350.005,698.895095646
12.3123284308,-11.4883333333,18.7484853925,542.005,698.812531156
12.4099284308,-1.48833333333,18.4547400994,773.005,698.731707514
12.5075284308,46.5116666667,18.1678446004,1141.005,698.652563714
12.6050284308,-10.4883333333,17.8878713875,1077.005,698.574983213
12.7026284308,72.5116666667,17.6140430843,572.005,698.498898503
12.8002284308,8.51166666667,17.3464546778,363.005,698.424214352
12.8977284308,37.5116666667,17.0851829406,714.005,698.350873965
12.9953284308,53.5116666667,16.8295109606,1232.005,698.278708917
13.0929284308,27.5116666667,16.5795353753,769.005,698.207655509
13.1904284308,15.5116666667,16.3353358954,468.005,698.137572869
13.2880284308,37.5116666667,16.0962499062,327.005,698.068286389
13.3855284308,34.5116666667,15.8626117285,122.005,697.99963146
13.4831284308,60.5116666667,15.6337918988,139.005,697.931337412
